"MLS No","Status","Address","Unit","DOM","City","LP","SP","BT","SqFt","BR","Bth","PB","Gar","GarSp","YrBlt","HOA Fee","Freq","Closing Date","Age","Area","Zip"
"SF421545849","SLD","181 fremont Street","65A","1","SANFRCISCO","$24,000","$24,000","CO","1827","2","2","1",,"0","2018",,,"5/6/2021","3","SF District 9","94123"
"SF487290","SLD","88 Townsend","P136","3","SANFRCISCO","$95,000","$90,000","CO",,"0","0","0",,,,"29",,"11/27/2019",,"SF District 9","94107"
"SF493430","SLD","250 King Street","428","68","SANFRCISCO","$170,049","$170,049","CO",,"1","1","0",,,,"816","M","4/21/2020",,"SF District 9","94107"
"SF490399","SLD","260 King Street","713","32","SANFRCISCO","$182,818","$182,818","CO","814","1","1","0",,,"2004","758","M","2/28/2020",,"SF District 9","94107"
"SF494841","SLD","1335 Filbert Street","101","57","SANFRCISCO","$187,620","$187,620","CO","914","1","1","0",,,"1924","552","M","6/25/2020",,"SF District 8","94109"
"SF491309","SLD","766 Harrison Street","209","112","SANFRCISCO","$188,515","$188,515","CO","276","0","1","0",,,"2008","277","M","2/11/2020",,"SF District 9","94107"
"SF497735","SLD","901 Bayshore Boulevard","308","133","SANFRCISCO","$196,842","$196,842","CO","530","1","1","0",,,"2003","382",,"12/30/2020",,"SF District 10","94124"
"SF482522","SLD","2208 Mission Street","304","85","SANFRCISCO","$201,565","$201,565","CO","1032","2","1","0",,,"2009","603","M","8/13/2019",,"SF District 9","94110"
"SF421531070","SLD","8 Octavia Boulevard","408","155","SANFRCISCO","$227,572","$227,572","CO","385","0","1","0",,"0","2014","555","M","9/20/2021","7","SF District 6","94102"
"SF493074","SLD","1695 18th Street","416","126","SANFRCISCO","$229,682","$229,682","CO","497","0","1","0",,,"1996","363","M","5/8/2020",,"SF District 9","94107"
"SF486132","SLD","550 South Van Ness Avenue","205","26","SANFRCISCO","$232,987","$232,987","CO","540","1","1","0",,,"1992","440",,"12/16/2019",,"SF District 9","94110"
"SF475073","SLD","1695 18th Street","307","79","SANFRCISCO","$234,775","$234,775","CO","636","1","1","0",,,"1996","376",,"4/19/2019",,"SF District 9","94107"
"SF493046","SLD","2701 Van Ness Avenue","206","44","SANFRCISCO","$240,913","$240,913","CO","528","0","1","0",,,"1929","510",,"5/8/2020",,"SF District 7","94109"
"SF489137","SLD","650 Turk Street","T504","64","SANFRCISCO","$241,713","$241,713","CO","377","1","1","0",,,"2008",,"M","12/19/2019",,"SF District 8","94102"
"SF493305","SLD","4800 3rd Street","201","92","SANFRCISCO","$242,856","$242,856","CO","712","1","1","0",,,"2009","447",,"4/22/2020",,"SF District 10","94124"
"SF461228","SLD","1450 Post Street","502","662","SANFRCISCO","$250,000","$175,000","CO","540","1","1","0",,"0","1992","4,583","M","7/11/2019","29","SF District 6","94109"
"SF510603","SLD","574 Natoma Street","301","290","SANFRCISCO","$251,200","$251,200","CO","329","0","1","0",,"0","2012","332","M","10/5/2021","9","SF District 9","94103"
"SF498335","SLD","1695 18th Street","309","42","SANFRCISCO","$255,913","$255,913","CO","636","0","1","0",,,"1996","458","M","12/4/2020",,"SF District 9","94107"
"SF487128","SLD","550 South Van Ness Avenue","405","27","SANFRCISCO","$256,633","$256,633","CO","540","1","1","0",,,"1992","440","M","12/11/2019",,"SF District 9","94110"
"SF505807","SLD","1017 Kansas Street","1017A","128","SANFRCISCO","$258,000","$260,000","DE","368","1","1","0",,"0",,"250",,"7/16/2021",,"SF District 9","94107"
"SF491570","SLD","555 Bartlett Street","214","33","SANFRCISCO","$260,587","$260,587","CO","776","1","1","0",,,"2009","511","M","3/10/2020",,"SF District 9","94110"
"SF493632","SLD","942 Market Street","305","65","SANFRCISCO","$265,015","$265,015","CO","1140","2","2","0",,,"2007","879","M","8/28/2020",,"SF District 8","94102"
"SF482959","SLD","335 Berry Street","203","43","SANFRCISCO","$265,375","$265,375","CO","641","1","1","0",,,"2009","518","M","8/16/2019",,"SF District 9","94158"
"SF509258","SLD","1695 18th Street","409","147","SANFRCISCO","$267,548","$267,548","CO","636","0","1","0",,"0","1996","458","M","4/2/2021","25","SF District 9","94107"
"SF509431","SLD","1310 Fillmore Street","310","167","SANFRCISCO","$270,177","$270,177","CO","740","1","1","0",,"0","2007","757","M","4/27/2021","14","SF District 6","94115"
"SF492870","SLD","95 Ora Way","F311","95","SANFRCISCO","$271,478","$271,478","CO","424","0","1","0",,,"1975","549","M","3/17/2020",,"SF District 4","94131"
"SF499430","SLD","1220 La Playa Street","206","159","SANFRCISCO","$275,800","$275,800","CO","606","1","1","0",,"0","1961","257","M","11/20/2020","60","SF District 2","94122"
"SF473666","SLD","1 Federal Street","28","29","SANFRCISCO","$276,043","$276,043","CO","798","0","1","0",,,"2003","639","M","1/9/2019",,"SF District 9","94107"
"SF488835","SLD","95 Ora Way","F211","157","SANFRCISCO","$278,304","$278,304","CO","409","0","1","0",,"0","1975","545","M","3/20/2020","46","SF District 4","94131"
"SF476599","SLD","1238 Sutter Street","602","144","SANFRCISCO","$286,137","$286,137","CO",,"0","1","0",,,,"502","M","2/15/2019",,"SF District 8","94109"
"SF502899","SLD","4800 3rd Street","303","237","SANFRCISCO","$286,622","$286,622","CO","627","1","1","0",,"0","2009","394","M","4/1/2021","12","SF District 10","94124"
"SF478843","SLD","1160 Mission Street","709","175","SANFRCISCO","$287,274","$287,274","CO","764","1","1","0",,,"2008","708","M","5/30/2019",,"SF District 9","94103"
"SF508057","SLD","942 Market Street","503","138","SANFRCISCO","$290,324","$290,324","CO","613","1","1","0",,"0","2007","617","M","4/20/2021","14","SF District 8","94102"
"SF507571","SLD","246 2nd Street","708","59","SANFRCISCO","$290,776","$290,776","CO","670","1","1","0",,"0","2000","515",,"3/30/2021","21","SF District 9","94105"
"SF507554","SLD","1515 15th Street","401","193","SANFRCISCO","$292,001","$292,001","CO","383","0","1","0",,"0","2014","481","M","5/6/2021","7","SF District 9","94103"
"SF479623","SLD","65 Ora Way","C107","106","SANFRCISCO","$298,358","$298,358","CO","684","1","1","0",,,"1975","621","M","5/15/2019",,"SF District 4","94131"
"SF509176","SLD","195 7th Street","305","161","SANFRCISCO","$299,000","$375,000","CO","0","0","1","0",,"0","1991","390",,"5/21/2021","30","SF District 9","94103"
"SF503045","SLD","83 McAllister Street","310","57","SANFRCISCO","$299,900","$303,000","CO","264","0","1","0",,"0","2007","390",,"11/6/2020","14","SF District 8","94102"
"40915211","SLD","83 Mcallister St","310","56","SANFRCISCO","$299,900","$303,000","CO","264","0","1","0","N","0","2007","390","M","11/6/2020","13","San Francisco County","94102"
"SF493774","SLD","60 Ora Way","H205","126","SANFRCISCO","$301,316","$301,316","CO","480","0","1","0",,,"1975","565","M","5/22/2020",,"SF District 4","94131"
"SF486651","SLD","95 Ora Way","F105","91","SANFRCISCO","$301,613","$301,613","CO","480","0","1","0",,,"1975","563","M","12/23/2019",,"SF District 4","94131"
"SF489081","SLD","3620 19th Street","33","117","SANFRCISCO","$307,400","$307,400","CO","798","1","1","0",,,"2008","489",,"1/8/2020",,"SF District 5","94110"
"SF421530801","SLD","1160 Mission Street","1105","185","SANFRCISCO","$307,950","$307,950","CO","664","1","1","0",,"0","2008","733","M","10/5/2021","13","SF District 9","94103"
"SF421530134","SLD","1160 Mission Street","1005","159","SANFRCISCO","$308,053","$306,835","CO","662","1","1","0",,"0","2008","739","M","8/27/2021","13","SF District 9","94103"
"SF485354","SLD","55 Page Street","213","120","SANFRCISCO","$308,595","$308,595","CO","463","0","1","0",,,"2008","451","M","9/27/2019",,"SF District 6","94102"
"SF480647","SLD","1400 Mission Street","810","132","SANFRCISCO","$310,484","$310,484","CO","631","1","1","0",,,"2015","403","M","6/14/2019",,"SF District 9","94103"
"SF500175","SLD","388 Fulton Street","310","123","SANFRCISCO","$310,798","$310,798","CO","347","0","1","0",,"0","2016","445","M","10/29/2020","5","SF District 6","94102"
"SF511614","SLD","1 Federal Street","7","101","SANFRCISCO","$310,948","$310,948","CO","1018","0","1","0",,"0","2003","753","M","4/27/2021","18","SF District 9","94107"
"SF511228","SLD","3256 16th Street","1","60","SANFRCISCO","$311,185","$311,185","CO","753","1","1","0",,"0","1983","537",,"4/27/2021","38","SF District 5","94103"
"SF494553","SLD","35 Dolores Street","103","123","SANFRCISCO","$312,324","$312,324","CO",,"2","2","0",,,"2015","516","M","7/8/2020",,"SF District 5","94103"
"SF487252","SLD","8 Octavia Boulevard","407","76","SANFRCISCO","$313,635","$313,635","CO","385","0","1","0",,,"2014","549","M","1/30/2020",,"SF District 6","94102"
"SF510174","SLD","888 7th Street","245","150","SANFRCISCO","$315,732","$315,732","CO","499","0","1","0",,"0","2007","338","M","4/20/2021","14","SF District 9","94107"
"40934737","SLD","1740 Bancroft Ave","324","0","SANFRCISCO","$318,862","$318,862","CO","1128","0","1","0","N","0","2009","367","M","4/8/2021","12","San Francisco County","94124"
"SF479073","SLD","370 Monterey Boulevard","313","177","SANFRCISCO","$321,557","$321,557","CO","807","1","1","0",,,"1978","390","M","7/18/2019",,"SF District 4","94131"
"SF494705","SLD","451 Kansas Street","420","35","SANFRCISCO","$321,865","$321,865","CO","438","0","1","0",,,"2007","455",,"6/12/2020",,"SF District 9","94107"
"SF495025","SLD","1400 Mission Street","706","81","SANFRCISCO","$322,768","$322,768","CO","635","1","1","0",,,"2015","436","M","8/18/2020",,"SF District 9","94103"
"SF483036","SLD","888 7th Street","114","79","SANFRCISCO","$324,574","$324,574","CO","495","0","1","0",,,"2007","374",,"9/5/2019",,"SF District 9","94107"
"SF421555842","SLD","333 1st Street","N207","92","SANFRCISCO","$329,571","$329,571","CO","706","1","1","0",,"0","2004","854","M","8/25/2021","17","SF District 9","94105"
"SF507046","SLD","140 S Van Ness Avenue","203","119","SANFRCISCO","$333,004","$333,004","CO","795","1","1","0",,"0","2002","524","M","1/26/2021","19","SF District 9","94103"
"SF474060","SLD","1235 McAllister Street","326","94","SANFRCISCO","$334,474","$334,474","CO","585","1","1","0",,"0","1999","369",,"3/8/2019","22","SF District 6","94115"
"SF504866","SLD","1400 Mission Street","609","180","SANFRCISCO","$334,848","$334,848","CO","420","1","1","0",,"0","2015","443","M","3/3/2021","6","SF District 9","94103"
"SF497985","SLD","1400 Mission Street","407","38","SANFRCISCO","$334,981","$334,981","CO","643","1","1","0",,,"2015","441","M","10/22/2020",,"SF District 9","94103"
"SF499135","SLD","1400 Mission Street","310","154","SANFRCISCO","$335,920","$335,920","CO","631","1","1","0",,,"2015","435","M","12/30/2020",,"SF District 9","94103"
"SF421532945","SLD","50 Lansing Street","413","143","SANFRCISCO","$337,748","$337,748","CO","783","1","1","0",,"0","2006","816","M","8/31/2021","15","SF District 9","94105"
"SF503921","SLD","2020 Ellis Street","304","163","SANFRCISCO","$340,721","$340,721","CO","634","1","1","0",,"0","2012","504","M","2/11/2021","9","SF District 6","94115"
"SF476602","SLD","1238 Sutter Street","303","170","SANFRCISCO","$341,443","$341,443","CO","0","1","1","0",,"0",,"495","M","3/13/2019",,"SF District 8","94109"
"SF421517230","SLD","1310 Fillmore Street","610","64","SANFRCISCO","$343,558","$343,558","CO","740","1","1","0",,"0","2007","757","M","7/20/2021","14","SF District 6","94115"
"SF487830","SLD","80 Ora Way","G204","70","SANFRCISCO","$344,820","$344,820","CO","676","1","1","0",,,"1975","619","M","12/31/2019",,"SF District 4","94131"
"SF479586","SLD","45 Ora Way","A207","125","SANFRCISCO","$345,490","$345,490","CO","684","1","1","0",,,"1975","621","M","5/3/2019",,"SF District 4","94131"
"SF480869","SLD","77 Van Ness Avenue","506","158","SANFRCISCO","$345,685","$345,685","CO","838","1","1","0",,,"2009","527","M","7/17/2019",,"SF District 8","94102"
"SF490090","SLD","76 Carrizal Street",,"16","SANFRCISCO","$349,000","$653,000","DE","850","2","1","0",,,"1944",,,"10/29/2019",,"SF District 10","94134"
"SF483638","SLD","1344 Thomas Avenue",,"16","SANFRCISCO","$349,000","$350,000","DE","324","0","1","0",,,"1910",,,"5/6/2019",,"SF District 10","94124"
"SF482743","SLD","300 Beale Street","316","47","SANFRCISCO","$349,010","$349,010","CO","751","1","1","0",,,"1937","628","M","8/29/2019",,"SF District 9","94105"
"SF512401","SLD","1688 Pine Street","E206","238","SANFRCISCO","$349,838","$349,838","CO","1018","2","2","0",,"0","2016","792",,"9/14/2021","5","SF District 8","94109"
"SF505117","SLD","1400 Mission Street","1102","263","SANFRCISCO","$354,852","$354,852","CO","631","1","1","0",,"0","2015","437","M","6/16/2021","6","SF District 9","94103"
"SF501286","SLD","1400 Mission Street","906","164","SANFRCISCO","$355,072","$355,072","CO","635","1","1","0",,"0","2015","436",,"12/22/2020","6","SF District 9","94103"
"SF483800","SLD","888 7th Street","311","94","SANFRCISCO","$356,614","$356,614","CO","534","1","1","0",,,"2007","385",,"10/15/2019",,"SF District 9","94107"
"SF421533316","SLD","901 Bayshore Boulevard","207","34","SANFRCISCO","$359,000","$350,000","CO","531","1","1","0",,"0","2003","383","M","6/3/2021","18","SF District 10","94124"
"SF509796","SLD","766 Harrison Street","706","29","SANFRCISCO","$359,000","$359,000","CO","243","0","1","0",,"0","2008","281",,"12/21/2020","13","SF District 9","94107"
"SF493282","SLD","1160 Mission Street","812","39","SANFRCISCO","$363,082","$363,082","CO","662","1","1","0",,,"2008","731","M","5/22/2020",,"SF District 9","94103"
"SF421538282","SLD","83 Mcallister Street","405","48","SANFRCISCO","$365,000","$365,000","CO","254","0","1","0",,"0","2007","445","M","7/9/2021","14","SF District 8","94102"
"SF502888","SLD","380 14th Street","205","374","SANFRCISCO","$365,000","$365,000","CO","455","1","1","0",,"0","2012","571","M","8/12/2021","9","SF District 9","94103"
"SF497071","SLD","1235 McAllister Street","314","39","SANFRCISCO","$367,624","$367,624","CO","585","1","1","0",,,"2000","354","M","10/29/2020",,"SF District 6","94115"
"SF505146","SLD","248 Lauren Court",,"92","SANFRCISCO","$368,008","$368,008","TH","1196","2","2","0",,"0","2008","242","M","2/4/2021","13","SF District 10","94134"
"SF511751","SLD","1155 Leavenworth Street","2","58","SANFRCISCO","$370,000","$370,000","DE","0","0","0","0",,"0","1911","365",,"3/18/2021","110","SF District 8","94109"
"SF502906","SLD","501 Beale Street","6E","216","SANFRCISCO","$371,012","$371,012","CO","759","1","1","0",,"0","2006","1,018","M","4/2/2021","15","SF District 9","94105"
"SF485827","SLD","1452 Bush Street","6","202","SANFRCISCO","$371,337","$371,337","CO","1013","2","1","1",,,"2004","600",,"12/24/2019",,"SF District 8","94109"
"ML81801001","SLD","55 Page Street","315","132","SANFRCISCO","$371,490","$371,490","CO","750","1","1",,,"0","2008","542","M","11/24/2020","12","Hayes Valley","94102"
"SF501010","SLD","55 Page Street","315","140","SANFRCISCO","$371,490","$371,490","CO","750","1","1","0",,"0","2008","541",,"11/24/2020","13","SF District 6","94102"
"SF477629","SLD","88 Townsend Street","107","41","SANFRCISCO","$372,715","$372,715","CO","593","1","1","0",,,"2004","495","M","3/5/2019",,"SF District 9","94107"
"SF508421","SLD","80 Ora Way","G208","107","SANFRCISCO","$373,732","$373,732","CO","684","1","1","0",,"0","1975","655","M","2/23/2021","46","SF District 4","94131"
"SF497563","SLD","83 McAllister Street","403","105","SANFRCISCO","$375,000","$385,000","CO","256","0","1","0",,"0","2007","387",,"8/25/2020","14","SF District 8","94102"
"SF502143","SLD","1400 Mission Street","313","106","SANFRCISCO","$376,375","$376,375","CO","940","2","2","0",,,"2015","523",,"11/13/2020",,"SF District 9","94103 3075"
"SF510375","SLD","1400 Mission Street","1101","157","SANFRCISCO","$377,583","$377,583","CO","913","2","2","0",,"0","2015",,"M","5/24/2021","6","SF District 9","94103"
"SF509948","SLD","1400 Mission Street","604","155","SANFRCISCO","$377,987","$377,987","CO","904","2","2","0",,"0","2015","513","M","4/27/2021","6","SF District 9","94103"
"SF421556219","SLD","766 Harrison Street","205","31","SANFRCISCO","$378,000","$400,000","CO","328","0","0","0",,"0","2008","284","M","8/2/2021","13","SF District 9","94107"
"SF476264","SLD","1450 Greenwich Street","104","165","SANFRCISCO","$378,228","$378,228","CO","550","0","1","0",,,"1928","491","M","4/12/2019",,"SF District 8","94109"
"SF485676","SLD","520 Natoma Street","8","175","SANFRCISCO","$379,000","$379,000","DE",,"0","1","0",,,"1911","300","M","11/27/2019",,"SF District 9","94103"
"SF504767","SLD","355 1st Street","S310","67","SANFRCISCO","$380,000","$380,000","CO","659","1","1","0",,"0","2004","807","M","4/9/2021","17","SF District 9","94105"
"SF477443","SLD","1740 Bancroft Avenue","354","50","SANFRCISCO","$380,017","$380,017","TH","1127","2","1","1",,,"2009","362",,"5/23/2019",,"SF District 10","94124"
"SF511884","SLD","888 7th Street","153","164","SANFRCISCO","$380,407","$380,407","CO","690","1","1","0",,"0","2007","427",,"6/23/2021","14","SF District 9","94107"
"SF476589","SLD","1238 Sutter Street","404","184","SANFRCISCO","$381,289","$381,289","CO",,"2","1","0",,,,"572","M","3/27/2019",,"SF District 8","94109"
"SF476594","SLD","1238 Sutter Street","504","204","SANFRCISCO","$382,081","$382,081","CO","0","2","1","0",,"0",,"568","M","4/16/2019",,"SF District 8","94109"
"SF489414","SLD","520 Natoma Street","7","28","SANFRCISCO","$385,000","$385,000","DE",,"0","1","0",,,"1911","258",,"10/11/2019",,"SF District 9","94103"
"SF497068","SLD","888 7th Street","215","38","SANFRCISCO","$385,459","$385,459","CO","545","1","1","0",,,"2007","388","M","10/23/2020",,"SF District 9","94107"
"SF510918","SLD","888 7th Street","334","87","SANFRCISCO","$385,817","$385,817","CO","535","1","1","0",,"0","2007","385","M","6/17/2021","14","SF District 9","94107"
"SF503898","SLD","1 Federal Street","18","171","SANFRCISCO","$387,026","$387,026","CO","1018","0","1","0",,"0","2003","754","M","2/3/2021","18","SF District 9","94107"
"SF490568","SLD","75 Ora Way","D306","106","SANFRCISCO","$387,713","$387,713","CO","890","2","1","0",,,"1975","678","M","2/4/2020",,"SF District 4","94131"
"SF498707","SLD","388 Fulton Street","214","44","SANFRCISCO","$388,596","$388,596","CO","708","2","1","0",,,"2016","602","M","11/17/2020",,"SF District 6","94102"
"SF421569925","SLD","601 Van Ness Avenue","347","73","SANFRCISCO","$395,000","$378,000","CO","490","0","1","0",,"0","1982","850","M","9/17/2021","39","SF District 8","94102"
"SF421601644","SLD","237 Greenwich Street","C","0","SANFRCISCO","$395,000","$395,000","DE","0","1","1","0",,"0","1900","150","M","10/6/2021","121","SF District 8","94133"
"SF493168","SLD","855 Folsom Street","941","466","SANFRCISCO","$395,000","$370,000","CO","503","0","1","0",,"0","2001","479","M","4/21/2021","20","SF District 9","94107"
"SF493720","SLD","520 Natoma Street","12","52","SANFRCISCO","$399,000","$395,000","DE",,"0","1","0",,,"1911","390","M","3/20/2020",,"SF District 9","94103"
"SF480957","SLD","434 Vallejo Street","434","11","SANFRCISCO","$399,000","$425,000","DE","474","1","1","0",,,"1908","400","M","4/2/2019",,"SF District 8","94133"
"SF501324","SLD","1535 Buchanan Street","5","33","SANFRCISCO","$399,000","$453,000","DE","1050","3","2","0",,,,"959",,"11/2/2020",,"SF District 6","94115"
"SF506914","SLD","766 Harrison Street","504","109","SANFRCISCO","$399,000","$375,000","CO","282","0","1","0",,"0","2008","282",,"1/25/2021","13","SF District 9","94107 4228"
"SF511981","SLD","601 Van Ness Avenue","448","169","SANFRCISCO","$399,000","$399,000","CO","442","0","1","0",,"0","1982","850","M","8/20/2021","39","SF District 8","94102"
"SF509628","SLD","601 Van Ness Avenue","447","39","SANFRCISCO","$399,000","$405,000","CO","490","0","1","0",,,"1982","820","M","12/18/2020",,"SF District 8","94102"
"SF505626","SLD","631 Ofarrell Street","1408","37","SANFRCISCO","$399,000","$585,000","CO","945","1","1","0",,,"1930","1,137",,"10/23/2020",,"SF District 8","94109"
"SF504117","SLD","1346 Stevenson Street","B201","22","SANFRCISCO","$399,000","$400,000","CO","600","1","1","0",,,"1997","449","M","12/10/2020",,"SF District 9","94103"
"SF485790","SLD","412 Green Street","A","60","SANFRCISCO","$399,000","$397,500","DE","0","0","1","0",,"0","1906","227",,"8/12/2019","115","SF District 8","94133"
"SF421525043","SLD","1932 Fell Street","4","45","SANFRCISCO","$399,000","$400,000","CO","0","0","1","0",,"0","1905","294","M","5/4/2021","116","SF District 6","94117"
"SF491614","SLD","195 7th Street","302","3","SANFRCISCO","$399,000","$450,000","CO","320","0","1","0",,,"1991","357",,"11/15/2019",,"SF District 9","94103"
"SF421571740","SLD","555 Golden Gate Avenue","502","53","SANFRCISCO","$399,129","$399,129","CO","840","2","1","0",,"0","2021","612","M","10/5/2021","0","SF District 8","94102"
"SF509944","SLD","451 Kansas Street","402","173","SANFRCISCO","$399,233","$399,233","CO","656","1","1","0",,"0","2007","533","M","5/30/2021","14","SF District 9","94107"
"SF421516721","SLD","901 Bush Street","207","187","SANFRCISCO","$399,273","$395,000","CO","532","1","1","0",,"0","1909","455","M","8/16/2021","112","SF District 8","94109"
"SF500893","SLD","501 Beale Street","11F","273","SANFRCISCO","$399,449","$399,499","CO","852","2","1","0",,"0","2006","1,044","M","4/6/2021","15","SF District 9","94105"
"40852822","SLD","2146 Shelter Creek Lane",,"47","SANFRCISCO","$399,900","$390,000","CO","490","0","1",,"N","0","1972","343","M","4/15/2019","48","San Francisco County","94066"
"SF494683","SLD","666 Post Street","904","199","SANFRCISCO","$400,000","$460,000","DE","775","1","1","0",,,"1926","934","M","9/4/2020",,"SF District 8","94109"
"SF502279","SLD","551 Hudson Avenue",,"94","SANFRCISCO","$400,000","$440,000","CO","558","1","1","0",,,"2015","386","M","10/28/2020",,"SF District 10","94124"
"SF464020","SLD","1450 Post Street","517","387","SANFRCISCO","$400,000","$400,000","CO","1067","1","1","0",,"0","1992","6,941","M","1/25/2019","29","SF District 6","94109"
"SF509285","SLD","195 7th Street","310","69","SANFRCISCO","$400,000","$428,000","CO","341","0","1","0",,"0","1991","370","M","1/12/2021",,"SF District 9","94109"
"SF503192","SLD","195 7th Street","402","35","SANFRCISCO","$400,000","$400,000","CO","320","0","1","0",,,"1991","370",,"11/20/2020",,"SF District 9","94103"
"SF475123","SLD","400 Beale Street","701","211","SANFRCISCO","$401,510","$401,051","CO","1075","2","2","0",,,,"1,023","M","6/19/2019",,"SF District 9","94105"
"SF492100","SLD","45 Ora Way","A308","23","SANFRCISCO","$402,232","$402,232","CO","904","2","1","0",,,"1975","682","M","3/6/2020",,"SF District 4","94131 2594"
"SF483588","SLD","855 Folsom Street","702","142","SANFRCISCO","$408,807","$408,807","CO",,"1","1","0",,,"2001","504","M","10/31/2019",,"SF District 9","94107"
"SF498577","SLD","601 Van Ness Avenue","328","92","SANFRCISCO","$409,000","$395,000","CO","470","0","1","0",,"0","1982","850","M","6/14/2021","39","SF District 8","94102"
"SF483152","SLD","400 Beale Street","407","90","SANFRCISCO","$409,444","$409,444","CO","1143","2","2","0",,,"2001","906","M","9/4/2019",,"SF District 9","94105"
"SF498336","SLD","81 Lansing Street","211","64","SANFRCISCO","$412,044","$412,044","CO","855","1","1","0",,,"1995","740",,"10/14/2020",,"SF District 9","94105"
"SF421538474","SLD","388 Fulton Street","301","131","SANFRCISCO","$416,018","$416,018","CO","708","2","1","0",,"0","2016","638","M","8/24/2021","5","SF District 6","94102"
"SF476528","SLD","199 New Montgomery Street","508","39","SANFRCISCO","$417,000","$417,000","CO","672","1","1","0",,,"2004","452","M","1/24/2019",,"SF District 9","94105"
"SF502955","SLD","766 Harrison Street","201","150","SANFRCISCO","$419,000","$385,000","CO","425","0","1","0",,"0","2008","281",,"2/3/2021","13","SF District 9","94107"
"SF421542428","SLD","631 Ofarrell Street","1210","129","SANFRCISCO","$419,000","$410,000","CO","0","0","1","0",,"0",,"726","M","9/15/2021",,"SF District 8","94109"
"SF508555","SLD","1155 Leavenworth Street","3","88","SANFRCISCO","$419,000","$400,000","DE","330","0","1","0",,"0","1911","385",,"3/3/2021","110","SF District 8","94109"
"SF421515874","SLD","195 7th Street","410","67","SANFRCISCO","$420,000","$405,000","CO","341","0","1","0",,"0","1991","390","M","4/29/2021","30","SF District 9","94103"
"SF497984","SLD","99 Rausch Street","418","34","SANFRCISCO","$420,271","$420,271","CO","935","2","2","0",,,"2017","754","M","9/2/2020",,"SF District 9","94103"
"SF506665","SLD","1740 Bancroft Avenue","357","101","SANFRCISCO","$421,191","$421,191","CO","1117","2","1","0",,"0","2009","434","M","4/8/2021","12","SF District 10","94124 7602"
"ML81738146","SLD","355 1st Street","S904","73","SANFRCISCO","$422,150","$422,150","CO","1034","2","2",,"Y","1","2004","878","M","8/30/2019","15","South Beach","94105"
"SF480670","SLD","355 1st Street","S904","190","SANFRCISCO","$422,150","$422,150","CO","1034","2","2","0",,,"2004","877","M","8/30/2019",,"SF District 9","94105"
"SF492872","SLD","1026 Folsom Street","A","4","SANFRCISCO","$425,000","$425,000","CO","307","0","1","0",,,"2001","338","M","1/2/2020",,"SF District 9","94103"
"SF421553203","SLD","725 Pine Street","307","64","SANFRCISCO","$425,000","$425,000","CO","328","0","1","0",,"0","1920","615","M","7/28/2021","101","SF District 8","94108"
"SF421558292","SLD","1180 Florida Street",,"23","SANFRCISCO","$428,000","$480,000","DE","476","0","0","0",,"0","1900",,,"8/6/2021","121","SF District 9","94110"
"SF421540056","SLD","2983 21st Street","B","28","SANFRCISCO","$429,000","$445,000","CO","0","1","1","0",,"0","1900",,,"6/1/2021","121","SF District 9","94110"
"SF480755","SLD","195 7th Street","310","8","SANFRCISCO","$429,000","$467,000","CO","341","0","1","0",,,"1991","357","M","6/28/2019",,"SF District 9","94103"
"SF478898","SLD","81 Lansing Street","305","238","SANFRCISCO","$429,816","$429,816","CO","900","1","1","0",,,"1995","650","M","8/16/2019",,"SF District 9","94105"
"SF501584","SLD","83 McAllister","205","20","SANFRCISCO","$429,900","$470,000","CO","254","0","1","0",,"0","2007","458","M","8/21/2020","14","SF District 8","94102"
"40912305","SLD","83 McAllister","205","14","SANFRCISCO","$429,900","$470,000","CO","254","0","1",,"N","0","2007","458","M","8/21/2020","13","San Francisco County","94102-7211"
"SF421563620","SLD","901 Bayshore Boulevard","209","36","SANFRCISCO","$430,000","$420,000","CO","527","1","1","0",,"0","2003","384","M","8/11/2021","18","SF District 10","94124"
"SF421522449","SLD","601 Van Ness Avenue","123","51","SANFRCISCO","$430,500","$420,000","CO","550","1","1","0",,"0","1982","850","M","5/28/2021","39","SF District 8","94102"
"SF484548","SLD","77 Van Ness Avenue","508","122","SANFRCISCO","$431,423","$431,423","CO","1132","2","2","0",,,"2009","429","M","9/24/2019",,"SF District 8","94102"
"SF421515948","SLD","537 Natoma Street","403","65","SANFRCISCO","$431,846","$431,846","CO","932","2","2","0",,"0","2013","413","M","7/12/2021","8","SF District 9","94103"
"SF500481","SLD","1415 Indiana Street","202","115","SANFRCISCO","$431,873","$400,000","CO","1459","1","1","0",,"0","2000","767","M","2/2/2021","21","SF District 9","94107"
"SF487533","SLD","400 Beale Street","405","127","SANFRCISCO","$433,995","$433,995","CO","826","1","1","0",,,"2002","846","M","11/25/2019",,"SF District 9","94105"
"SF474277","SLD","75 Ora Way","D302","159","SANFRCISCO","$434,313","$434,313","CO","913","2","1","0",,,"1975","609","M","1/29/2019",,"SF District 4","94131"
"SF480446","SLD","601 Van Ness Avenue","507","25","SANFRCISCO","$435,000","$462,500","CO","469","0","1","0",,"0","1982","774","M","2/19/2019","39","SF District 8","94102"
"SF500321","SLD","55 Red Rock Way","110O","265","SANFRCISCO","$435,000","$435,000","CO","474","0","1","0",,"0","1972","491","M","3/22/2021","49","SF District 4","94131"
"SF498096","SLD","1019 Kansas Street",,"26","SANFRCISCO","$438,000","$465,000","DE","701","2","1","0",,"0",,"250",,"8/7/2020",,"SF District 9","94107"
